City,Date,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,Xylene
Hyderabad,10-08-2016,4.83,8.64,11.86,0.45,6.92,9.76,0.07,0.46,0.04
Hyderabad,11-08-2016,5.34,9.11,10.68,0.44,6.2,9.13,0.09,0.55,0.05
Hyderabad,12-08-2016,11.88,8.03,8.71,0.5,10.37,9.19,0.09,0.59,0.05
Hyderabad,01-09-2016,20.22,76.06,7.6,0.11,6.94,15.01,0.02,0.11,0.36
Hyderabad,02-09-2016,10.71,44.71,13.01,0.39,7.71,13.53,0.06,0.85,0.11
Hyderabad,03-09-2016,13.23,57.09,17.23,0.45,10.59,14.46,0.06,0.49,1.06
Hyderabad,04-09-2016,6.93,46.21,3.46,0.07,3.71,14.74,0.01,0.04,0.06
Hyderabad,05-09-2016,9.88,52.18,9.57,0.22,4.28,14.68,0.03,0.19,0.32
Hyderabad,06-09-2016,14.82,74.51,18.74,0.27,16.38,14.26,0.08,1.3,2.24
Hyderabad,07-09-2016,17.64,84.52,27.1,0.39,8.3,13.15,0.26,4.77,3.96
Hyderabad,08-09-2016,16.61,78.74,16.86,0.2,12.95,15.26,0.09,1.79,2.61
Hyderabad,09-09-2016,11.29,74.42,13.02,0.21,5.89,14.06,0.09,1.66,2.84
Hyderabad,11-09-2016,13.43,70.69,22.2,0.32,4.45,16.52,0.1,0.74,3.38
Hyderabad,15-09-2016,12.37,46.68,15.99,0.15,11.29,18.76,0.1,1.52,3.93
Hyderabad,16-09-2016,9.73,35.0,7.61,0.27,2.6,8.26,0.03,0.21,0.54
Hyderabad,17-09-2016,9.93,38.39,4.35,0.06,2.52,10.39,0.02,0.06,0.1
Hyderabad,19-09-2016,8.27,30.4,5.68,0.09,2.41,27.43,0.03,0.17,0.49
Hyderabad,20-09-2016,8.85,31.44,11.36,0.25,1.98,24.77,0.05,0.22,0.96
Hyderabad,21-09-2016,10.85,38.08,19.18,0.11,2.83,21.43,0.1,0.72,3.17
Hyderabad,22-09-2016,10.23,37.98,11.32,0.1,4.39,26.59,0.04,0.7,2.76
Hyderabad,23-09-2016,9.66,43.87,3.57,0.09,15.62,17.76,0.02,0.11,0.11
Hyderabad,24-09-2016,9.25,32.33,5.66,0.25,7.6,25.15,0.02,0.35,2.18
Hyderabad,25-09-2016,10.08,43.64,10.2,0.17,4.1,21.7,0.05,0.3,1.73
Hyderabad,26-09-2016,14.44,49.62,15.21,0.24,16.22,21.89,0.1,3.15,4.49
Hyderabad,29-09-2016,8.76,53.2,15.5,0.17,7.08,27.93,0.08,1.92,5.0
Hyderabad,01-10-2016,9.57,42.12,20.85,0.24,8.03,29.57,0.08,1.2,2.13
Hyderabad,02-10-2016,9.42,41.65,12.52,0.11,2.73,30.28,0.05,0.29,0.11
Hyderabad,03-10-2016,7.59,26.93,7.84,0.19,9.91,25.02,0.02,0.11,0.13
Hyderabad,04-10-2016,9.57,42.12,13.8,0.03,6.74,22.95,0.03,0.11,0.09
Hyderabad,05-10-2016,10.92,35.58,12.75,0.07,5.53,23.2,0.02,0.09,0.22
Hyderabad,06-10-2016,13.83,47.47,16.72,0.1,6.85,20.62,0.02,0.2,0.76
Hyderabad,07-10-2016,10.46,40.95,13.83,0.2,6.22,23.05,0.01,0.17,0.7
Hyderabad,08-10-2016,10.7,39.15,12.18,0.08,3.2,22.36,0.01,0.21,0.22
Hyderabad,09-10-2016,11.5,45.99,3.87,0.05,1.55,30.7,0.0,0.06,0.06
Hyderabad,10-10-2016,7.85,32.55,5.41,0.25,4.28,39.61,0.01,0.09,0.09
Hyderabad,12-10-2016,10.24,45.48,9.94,0.43,19.26,27.61,0.23,3.94,4.6
Hyderabad,13-10-2016,12.08,63.89,20.04,0.65,15.29,26.79,0.48,10.12,4.94
Hyderabad,14-10-2016,10.91,73.13,21.83,0.62,22.54,33.44,0.53,6.69,1.11
Hyderabad,15-10-2016,8.9,61.79,15.27,0.59,15.96,38.65,0.22,4.61,0.46
Hyderabad,16-10-2016,15.01,75.39,23.92,0.79,21.55,33.68,0.33,8.32,2.28
Hyderabad,25-10-2016,11.65,68.11,20.88,0.38,18.9,27.18,0.06,1.27,1.74
Hyderabad,30-10-2016,7.96,25.39,9.13,0.33,19.58,55.87,0.09,1.61,0.62
Hyderabad,31-10-2016,8.84,24.36,11.15,0.54,23.55,46.88,0.07,1.37,0.09
Hyderabad,14-11-2016,10.06,45.51,14.73,0.74,16.38,59.28,0.05,0.76,0.13
Hyderabad,15-11-2016,9.75,35.21,12.11,0.54,25.31,55.35,0.06,1.11,0.16
Hyderabad,01-12-2016,10.58,54.03,10.45,0.38,23.1,49.67,0.02,0.15,0.12
Hyderabad,03-12-2016,9.88,38.29,9.69,0.28,8.7,33.69,0.03,0.04,0.04
Hyderabad,04-12-2016,12.66,40.89,14.51,0.41,20.04,32.84,0.04,0.12,0.05
Hyderabad,14-12-2016,9.33,27.18,5.73,0.28,7.84,36.95,0.01,0.05,0.03
Hyderabad,15-12-2016,22.06,49.45,7.32,0.25,13.93,27.81,0.02,0.31,0.21
Hyderabad,25-12-2016,8.23,58.82,17.39,0.51,11.31,63.02,0.03,0.64,0.12
Hyderabad,26-12-2016,9.6,55.26,19.56,0.73,19.3,51.25,0.09,1.31,0.25
Hyderabad,29-12-2016,9.38,58.31,14.69,0.48,10.11,57.89,0.04,0.69,0.92
Hyderabad,01-01-2017,7.54,39.37,8.27,0.25,6.08,69.11,0.02,0.2,0.03
Hyderabad,02-01-2017,9.69,52.0,10.85,0.33,20.73,47.61,0.02,0.77,0.18
Hyderabad,03-01-2017,11.01,58.68,13.66,0.31,22.99,50.37,0.03,0.75,0.45
Hyderabad,05-01-2017,10.97,57.6,13.18,0.0,25.88,45.66,0.06,1.2,0.53
Hyderabad,07-01-2017,10.37,37.49,9.45,0.0,7.83,58.44,0.03,0.45,0.11
Hyderabad,08-01-2017,10.32,34.38,8.88,0.0,3.21,52.76,0.02,0.2,0.05
Hyderabad,09-01-2017,10.08,30.24,11.37,0.0,3.56,60.3,0.02,0.17,0.09
Hyderabad,10-01-2017,7.05,36.21,8.33,0.0,6.6,53.49,0.03,0.29,0.5
Hyderabad,13-01-2017,10.43,49.01,11.51,0.0,16.8,43.54,0.06,0.94,0.08
Hyderabad,14-01-2017,10.06,38.15,9.48,0.0,7.78,47.92,0.04,0.35,0.05
Hyderabad,15-01-2017,9.88,39.02,9.59,0.0,3.77,42.95,0.05,0.27,0.05
Hyderabad,16-01-2017,14.4,52.77,12.14,0.0,21.93,30.43,0.06,0.85,0.07
Hyderabad,17-01-2017,10.96,49.49,11.74,0.0,5.32,32.75,0.04,0.54,0.06
Hyderabad,18-01-2017,10.06,34.26,8.81,0.0,4.16,58.14,0.04,0.24,0.05
Hyderabad,19-01-2017,10.09,38.78,9.6,0.0,3.76,66.33,0.02,0.16,0.03
Hyderabad,20-01-2017,10.68,49.29,11.62,0.0,9.0,55.29,0.02,0.33,0.04
Hyderabad,21-01-2017,19.01,63.8,16.45,0.0,7.19,48.08,0.02,0.33,0.07
Hyderabad,22-01-2017,10.06,49.44,16.53,0.0,6.68,53.25,0.02,0.46,0.3
Hyderabad,23-01-2017,10.65,52.58,19.39,0.0,13.58,53.54,0.06,1.01,0.07
Hyderabad,24-01-2017,10.19,50.58,11.72,0.0,12.35,53.29,0.03,0.38,0.03
Hyderabad,25-01-2017,10.14,47.79,11.21,0.0,9.19,58.67,0.01,0.25,0.03
Hyderabad,26-01-2017,9.54,32.92,8.41,0.0,4.04,75.82,0.0,0.1,0.03
Hyderabad,27-01-2017,9.47,41.9,10.18,0.0,7.88,51.86,0.0,0.1,0.03
Hyderabad,28-01-2017,8.46,43.74,7.53,0.0,12.09,43.59,0.0,0.1,0.03
Hyderabad,30-01-2017,19.88,60.35,16.06,0.0,19.96,56.94,0.06,0.75,0.08
Hyderabad,31-01-2017,10.14,46.64,16.51,0.0,12.33,53.74,0.07,1.1,0.13
Hyderabad,01-02-2017,10.32,35.7,9.92,0.0,5.74,74.98,0.03,0.37,0.17
Hyderabad,02-02-2017,10.06,37.44,9.36,0.0,3.48,68.59,0.01,0.14,0.03
Hyderabad,03-02-2017,9.92,42.23,10.17,0.0,8.29,76.03,0.01,0.2,0.04
Hyderabad,06-02-2017,17.54,52.4,8.17,0.0,18.17,61.34,0.0,0.03,0.0
Hyderabad,07-02-2017,8.44,60.66,11.41,0.0,25.9,42.44,0.0,0.0,0.0
Hyderabad,08-02-2017,7.1,51.31,8.72,0.0,17.22,45.33,0.01,0.18,0.01
Hyderabad,09-02-2017,8.62,45.89,10.47,0.0,7.48,50.11,0.02,0.31,0.04
Hyderabad,10-02-2017,8.71,35.98,7.61,0.0,5.02,67.42,0.0,0.1,0.01
Hyderabad,11-02-2017,6.28,27.85,3.04,0.0,1.8,64.54,0.0,0.03,0.0
Hyderabad,12-02-2017,9.79,32.34,4.54,0.0,3.08,47.55,0.0,0.05,0.0
Hyderabad,14-02-2017,10.84,35.19,9.17,0.0,10.09,57.4,0.03,0.37,0.06
Hyderabad,15-02-2017,13.81,40.94,12.43,0.08,10.89,38.79,0.05,0.75,0.14
Hyderabad,16-02-2017,12.04,46.28,14.03,0.11,23.38,40.55,0.11,1.51,0.23
Hyderabad,19-02-2017,10.87,40.25,9.18,0.23,27.84,50.72,0.22,2.36,0.53
Hyderabad,20-02-2017,8.41,35.93,8.46,0.25,22.31,39.94,0.2,2.08,0.38
Hyderabad,21-02-2017,11.52,44.31,13.02,0.24,25.23,39.26,0.17,2.14,0.48
Hyderabad,22-02-2017,12.37,46.93,13.69,0.27,20.72,49.52,0.16,1.92,0.57
Hyderabad,23-02-2017,13.74,48.13,14.06,0.28,24.77,52.2,0.22,3.77,1.91
Hyderabad,26-02-2017,10.4,44.5,12.84,0.22,26.83,57.97,0.25,3.35,2.7
Hyderabad,27-02-2017,12.48,39.79,11.67,0.28,17.65,64.27,0.18,2.08,0.46
Hyderabad,28-02-2017,13.34,45.33,13.98,0.23,27.21,64.43,0.31,2.94,0.94
Hyderabad,01-03-2017,7.64,38.86,9.94,0.24,15.45,38.61,0.14,1.65,0.41
Hyderabad,02-03-2017,7.72,29.63,8.8,0.19,10.31,42.14,0.08,0.98,0.31
Hyderabad,03-03-2017,7.66,25.79,7.97,0.14,7.43,51.83,0.08,0.97,0.28
Hyderabad,04-03-2017,7.83,25.01,7.66,0.16,10.15,68.85,0.06,0.92,0.22
Hyderabad,05-03-2017,7.81,19.79,6.75,0.14,14.85,55.32,0.05,0.92,0.17
Hyderabad,06-03-2017,8.94,28.0,8.86,0.17,9.61,50.93,0.09,1.39,0.36
Hyderabad,07-03-2017,7.05,17.76,6.07,0.14,12.29,55.68,0.05,0.74,0.18
Hyderabad,08-03-2017,8.68,28.85,8.91,0.13,13.64,57.87,0.09,1.85,0.48
Hyderabad,09-03-2017,13.65,45.09,14.68,0.2,19.6,47.16,0.17,3.35,1.02
Hyderabad,10-03-2017,8.47,24.09,8.42,0.12,9.13,42.43,0.05,1.05,0.31
Hyderabad,11-03-2017,9.63,33.13,10.18,0.11,12.9,43.3,0.06,1.02,0.57
Hyderabad,12-03-2017,11.64,41.87,12.69,0.16,22.58,44.15,0.16,1.75,0.53
Hyderabad,13-03-2017,11.59,42.87,12.28,0.21,25.87,52.81,0.21,2.59,0.42
Hyderabad,14-03-2017,9.56,37.51,11.09,0.16,17.73,50.11,0.22,2.27,0.26
Hyderabad,15-03-2017,8.25,18.26,6.57,0.11,7.85,41.95,0.04,0.66,0.12
Hyderabad,16-03-2017,9.18,24.38,8.05,0.11,7.14,42.8,0.04,0.91,0.17
Hyderabad,17-03-2017,12.86,45.98,14.49,0.16,17.35,39.39,0.19,2.51,1.2
Hyderabad,18-03-2017,20.68,52.24,17.22,0.2,21.64,34.77,0.33,4.68,3.14
Hyderabad,19-03-2017,17.42,54.07,17.35,0.19,24.11,29.02,0.22,3.34,1.32
Hyderabad,20-03-2017,15.13,43.35,12.52,0.19,24.0,25.22,0.2,2.61,0.43
Hyderabad,22-03-2017,12.57,52.0,14.03,0.17,21.17,68.16,0.16,2.49,0.75
Hyderabad,23-03-2017,12.2,48.25,13.65,0.23,10.61,64.54,0.1,1.34,0.35
Hyderabad,24-03-2017,10.5,42.79,11.92,0.17,11.49,64.9,0.11,1.25,0.32
Hyderabad,25-03-2017,9.42,41.27,11.22,0.19,14.86,63.64,0.1,1.74,0.25
Hyderabad,26-03-2017,9.35,38.24,10.57,0.17,12.7,65.94,0.09,1.29,0.25
Hyderabad,27-03-2017,9.53,39.4,10.9,0.16,13.08,66.96,0.09,0.97,0.22
Hyderabad,28-03-2017,9.57,38.28,10.72,0.16,10.89,57.96,0.09,1.07,0.21
Hyderabad,29-03-2017,9.55,33.72,10.29,0.16,6.55,57.0,0.09,0.89,0.2
Hyderabad,30-03-2017,9.2,35.07,10.75,0.17,8.66,54.3,0.1,1.26,0.2
Hyderabad,31-03-2017,9.23,35.7,10.05,0.15,8.68,62.1,0.09,0.94,0.2
Hyderabad,01-04-2017,9.09,30.98,8.99,0.14,6.09,59.95,0.08,0.86,0.4
Hyderabad,02-04-2017,10.08,41.35,11.47,0.16,8.48,49.08,0.09,1.51,0.37
Hyderabad,03-04-2017,9.17,34.02,9.63,0.15,7.24,53.76,0.09,1.12,0.26
Hyderabad,04-04-2017,9.33,30.44,8.9,0.14,10.83,55.87,0.08,0.92,0.18
Hyderabad,05-04-2017,9.49,29.71,8.89,0.15,7.18,43.12,0.07,0.71,0.19
Hyderabad,06-04-2017,6.25,36.95,9.88,0.16,9.13,39.14,0.1,0.98,0.37
Hyderabad,07-04-2017,9.41,32.91,10.06,0.14,9.66,48.79,0.05,0.77,0.24
Hyderabad,08-04-2017,11.67,38.38,11.62,0.2,16.14,41.4,0.56,1.45,0.28
Hyderabad,09-04-2017,16.76,49.22,23.27,0.29,14.15,36.76,0.24,1.7,0.62
Hyderabad,10-04-2017,4.95,39.61,11.11,0.21,17.04,46.58,0.16,1.21,0.31
Hyderabad,13-04-2017,9.86,37.36,11.15,0.15,18.52,64.29,0.13,1.15,0.26
Hyderabad,14-04-2017,8.26,32.52,10.17,0.17,16.51,53.34,0.13,1.05,0.25
Hyderabad,15-04-2017,6.46,29.2,9.42,0.16,15.79,46.79,0.2,0.98,0.3
Hyderabad,16-04-2017,8.75,28.75,8.96,0.15,14.29,41.88,0.17,1.12,0.29
Hyderabad,17-04-2017,11.91,41.41,12.46,0.23,23.3,41.35,0.18,1.69,0.6
Hyderabad,18-04-2017,10.84,45.1,13.09,0.25,22.43,56.8,0.26,1.54,0.57
Hyderabad,19-04-2017,8.37,27.79,8.08,0.14,9.25,50.43,0.22,1.59,0.24
Hyderabad,20-04-2017,8.94,35.29,10.53,0.12,15.24,48.24,0.16,1.49,0.24
Hyderabad,21-04-2017,9.86,37.88,11.26,0.13,15.64,48.44,0.09,1.09,0.26
Hyderabad,22-04-2017,12.27,42.5,13.91,0.19,19.01,42.89,0.17,1.46,0.43
Hyderabad,23-04-2017,14.55,42.34,13.23,0.16,23.97,36.37,0.2,1.88,0.44
Hyderabad,24-04-2017,12.62,40.89,12.81,0.17,19.79,33.12,0.32,2.92,0.47
Hyderabad,25-04-2017,13.26,42.61,16.03,0.18,27.37,35.6,0.22,1.94,0.67
Hyderabad,26-04-2017,7.13,51.82,10.74,0.06,19.33,26.72,0.1,0.95,0.64
Hyderabad,27-04-2017,12.52,45.42,15.74,0.19,22.7,48.36,0.2,2.02,0.67
Hyderabad,28-04-2017,8.81,23.58,8.78,0.09,5.2,70.21,0.04,0.61,0.12
Hyderabad,29-04-2017,6.2,29.07,8.18,0.09,10.98,59.6,0.08,0.94,0.23
Hyderabad,30-04-2017,6.14,25.71,8.76,0.1,11.4,55.85,0.06,0.94,0.11
Hyderabad,01-05-2017,6.44,26.4,8.54,0.09,11.13,45.05,0.09,1.48,0.12
Hyderabad,02-05-2017,5.92,21.73,7.49,0.1,5.69,64.01,0.04,0.67,0.12
Hyderabad,03-05-2017,6.09,25.09,8.5,0.11,4.14,54.45,0.04,0.63,0.17
Hyderabad,04-05-2017,6.23,26.06,9.73,0.15,8.28,52.6,0.05,0.75,0.23
Hyderabad,05-05-2017,6.06,24.97,10.1,0.15,8.41,65.03,0.12,0.82,0.17
Hyderabad,06-05-2017,5.12,25.56,7.62,0.11,11.54,50.37,0.03,0.64,0.17
Hyderabad,07-05-2017,5.47,12.86,2.82,0.09,6.91,67.42,0.02,0.49,0.07
Hyderabad,08-05-2017,3.79,18.72,4.24,0.06,10.16,62.99,0.02,0.5,0.08
Hyderabad,09-05-2017,5.63,41.36,9.72,0.06,10.25,53.25,0.06,0.76,0.13
Hyderabad,11-05-2017,8.1,72.96,22.12,0.14,3.96,57.35,0.02,0.61,0.16
Hyderabad,12-05-2017,5.0,36.6,11.62,0.15,4.51,53.61,0.03,0.61,0.19
Hyderabad,13-05-2017,5.08,38.77,11.38,0.14,5.92,45.63,0.04,0.71,0.15
Hyderabad,14-05-2017,5.06,42.42,10.51,0.15,4.93,44.74,0.05,0.83,0.23
Hyderabad,15-05-2017,4.56,30.94,9.21,0.11,6.38,49.94,0.05,0.55,0.14
Hyderabad,16-05-2017,4.59,41.07,12.57,0.11,9.81,37.77,0.03,0.72,0.2
Hyderabad,17-05-2017,4.41,38.74,11.94,0.11,8.88,38.04,0.03,0.73,0.29
Hyderabad,18-05-2017,5.62,50.64,14.58,0.13,11.25,32.17,0.08,1.15,0.55
Hyderabad,19-05-2017,6.3,49.46,12.42,0.11,12.25,32.93,0.06,0.73,0.4
Hyderabad,20-05-2017,4.73,48.49,12.84,0.11,10.89,36.62,0.09,0.91,0.49
Hyderabad,21-05-2017,2.2,47.98,15.64,0.16,10.0,39.06,0.27,1.66,0.42
Hyderabad,22-05-2017,4.44,51.56,15.38,0.13,8.43,44.56,0.08,1.24,0.38
Hyderabad,23-05-2017,4.69,66.04,18.88,0.15,12.73,29.12,0.21,1.56,0.47
Hyderabad,24-05-2017,5.39,70.75,17.53,0.17,9.6,30.25,0.23,1.5,0.38
Hyderabad,25-05-2017,4.42,45.01,10.87,0.09,4.46,47.08,0.05,0.59,0.16
Hyderabad,26-05-2017,4.5,47.81,11.47,0.1,7.28,45.06,0.03,0.54,0.35
Hyderabad,27-05-2017,4.45,30.37,7.75,0.07,4.17,43.41,0.01,0.27,0.08
Hyderabad,28-05-2017,4.26,35.91,8.8,0.09,6.47,53.11,0.04,0.51,0.11
Hyderabad,29-05-2017,4.92,42.99,10.09,0.06,5.75,41.03,0.06,0.44,0.08
Hyderabad,30-05-2017,14.07,46.38,14.55,0.06,10.87,36.63,0.02,0.43,0.06
Hyderabad,31-05-2017,7.79,22.84,7.79,0.05,2.78,45.72,0.0,0.21,0.01
Hyderabad,01-06-2017,8.94,25.83,9.14,0.06,1.66,48.75,0.0,0.19,0.01
Hyderabad,02-06-2017,8.57,22.7,7.61,0.07,3.03,57.96,0.01,0.26,0.03
Hyderabad,03-06-2017,8.4,19.42,6.83,0.07,2.33,53.33,0.01,0.33,0.04
Hyderabad,04-06-2017,9.13,24.08,8.73,0.08,4.09,46.26,0.01,0.5,0.11
Hyderabad,05-06-2017,8.38,19.2,6.73,0.07,6.0,54.74,0.02,0.44,0.16
Hyderabad,06-06-2017,7.71,21.89,6.76,0.09,4.06,54.65,0.02,0.46,0.22
Hyderabad,07-06-2017,6.91,11.7,4.45,0.07,3.66,48.45,0.01,0.34,0.12
Hyderabad,08-06-2017,8.21,19.22,8.56,0.08,2.68,36.3,0.01,0.27,0.07
Hyderabad,09-06-2017,4.9,20.03,7.59,0.08,5.5,33.48,0.31,1.4,0.45
Hyderabad,10-06-2017,8.48,15.62,8.61,0.1,3.68,36.93,0.39,4.21,0.68
Hyderabad,11-06-2017,8.52,15.56,7.49,0.09,2.04,27.75,0.0,0.73,0.04
Hyderabad,12-06-2017,8.02,8.47,5.4,0.07,3.57,27.08,0.0,0.84,0.13
Hyderabad,13-06-2017,6.55,17.19,11.45,0.13,4.03,42.25,0.07,1.15,0.62
Hyderabad,14-06-2017,7.29,16.5,8.82,0.25,3.87,54.73,0.07,0.76,0.51
Hyderabad,15-06-2017,7.07,18.12,8.71,0.21,3.98,48.18,0.08,1.18,0.23
Hyderabad,16-06-2017,7.47,14.66,7.72,0.19,3.1,50.2,0.03,0.95,0.15
Hyderabad,17-06-2017,7.13,16.86,8.45,0.23,4.67,52.04,0.05,0.68,0.23
Hyderabad,18-06-2017,7.04,15.24,6.91,0.17,4.33,54.45,0.06,0.9,0.52
Hyderabad,19-06-2017,7.27,11.6,5.97,0.17,3.95,40.17,0.02,0.58,0.26
Hyderabad,20-06-2017,7.42,12.26,6.26,0.14,3.67,39.37,0.0,0.3,0.05
Hyderabad,21-06-2017,7.47,14.39,6.86,0.14,11.12,37.42,0.0,0.27,0.1
Hyderabad,22-06-2017,11.21,18.0,9.3,0.16,4.17,27.54,0.12,1.53,0.48
Hyderabad,23-06-2017,8.5,15.64,8.41,0.18,5.22,29.81,0.08,1.11,0.31
Hyderabad,24-06-2017,9.06,11.31,6.69,0.16,5.26,34.33,0.0,0.37,0.16
Hyderabad,25-06-2017,7.56,13.1,6.56,0.15,5.17,35.59,0.07,0.54,0.03
Hyderabad,26-06-2017,7.45,10.8,5.9,0.14,5.22,33.43,0.0,0.18,0.0
Hyderabad,27-06-2017,7.7,11.63,5.34,0.09,5.31,31.88,0.0,0.22,0.01
Hyderabad,28-06-2017,6.69,14.13,5.9,0.09,13.04,31.16,0.0,0.27,0.01
Hyderabad,29-06-2017,7.44,12.42,6.26,0.18,5.66,32.42,0.02,0.24,0.02
Hyderabad,30-06-2017,7.23,11.15,5.9,0.14,5.22,33.21,0.14,0.58,0.38
Hyderabad,01-07-2017,8.77,12.28,6.83,0.14,3.86,32.5,0.06,0.35,0.1
Hyderabad,02-07-2017,7.21,11.87,6.08,0.13,6.13,31.55,0.03,0.34,0.01
Hyderabad,03-07-2017,12.34,13.33,9.32,0.17,6.91,32.11,0.1,0.52,0.55
Hyderabad,04-07-2017,7.46,13.28,6.56,0.15,13.54,29.3,0.07,0.45,0.18
Hyderabad,05-07-2017,7.39,12.88,6.43,0.16,13.72,30.35,0.1,0.69,0.23
Hyderabad,07-07-2017,8.25,16.09,7.86,0.17,5.99,30.48,0.25,1.33,2.26
Hyderabad,08-07-2017,7.48,15.37,7.12,0.15,6.05,34.11,0.18,1.26,1.05
Hyderabad,09-07-2017,7.34,14.82,6.92,0.16,6.71,32.87,0.12,1.01,0.67
Hyderabad,10-07-2017,7.91,17.03,7.62,0.19,7.42,29.39,0.38,1.83,1.27
Hyderabad,11-07-2017,8.31,16.31,7.71,0.16,6.56,26.9,0.44,2.66,2.42
Hyderabad,12-07-2017,7.8,15.3,7.23,0.15,5.86,29.41,0.27,2.28,0.54
Hyderabad,13-07-2017,7.93,12.53,6.55,0.17,5.98,28.55,0.17,1.95,0.42
Hyderabad,14-07-2017,8.34,13.56,6.99,0.14,5.01,27.6,0.09,1.21,0.57
Hyderabad,15-07-2017,7.95,11.48,6.15,0.14,6.85,29.24,0.01,0.46,0.24
Hyderabad,16-07-2017,6.76,8.45,4.41,0.17,6.48,34.63,0.01,0.76,0.06
Hyderabad,17-07-2017,6.78,12.06,5.95,0.16,4.3,31.84,0.24,4.0,0.66
Hyderabad,18-07-2017,5.28,10.62,4.97,0.15,2.97,26.27,0.04,0.47,0.19
Hyderabad,19-07-2017,5.47,12.4,5.52,0.15,3.27,25.0,0.05,0.46,0.15
Hyderabad,20-07-2017,5.06,9.5,4.58,0.14,3.09,26.17,0.03,0.58,0.07
Hyderabad,21-07-2017,5.01,9.71,4.57,0.15,4.23,28.25,0.03,1.0,0.14
Hyderabad,22-07-2017,3.28,10.08,4.21,0.15,5.05,29.49,0.01,0.49,0.06
Hyderabad,23-07-2017,4.89,11.72,5.1,0.15,2.96,31.42,0.01,0.37,0.04
Hyderabad,24-07-2017,5.29,12.84,5.46,0.15,4.5,29.9,0.04,0.69,0.09
Hyderabad,25-07-2017,5.28,10.9,5.85,0.17,4.66,25.83,0.02,0.87,0.29
Hyderabad,26-07-2017,4.27,12.98,5.39,0.18,4.65,28.42,0.05,0.95,1.6
Hyderabad,27-07-2017,5.51,13.97,5.99,0.16,6.12,28.62,0.04,0.88,0.59
Hyderabad,28-07-2017,9.44,14.04,7.7,0.17,3.6,26.67,0.1,0.96,0.71
Hyderabad,29-07-2017,7.99,14.93,8.08,0.17,4.23,29.08,0.26,1.63,1.11
Hyderabad,30-07-2017,8.1,16.64,9.26,0.2,5.83,27.97,0.42,3.43,1.34
Hyderabad,31-07-2017,7.22,18.87,10.08,0.21,5.04,28.83,0.97,5.05,2.84
Hyderabad,01-08-2017,6.08,17.0,8.77,0.21,5.57,27.81,0.34,4.08,2.65
Hyderabad,02-08-2017,5.31,13.74,5.93,0.2,10.67,26.03,0.28,2.23,0.88
Hyderabad,03-08-2017,5.24,10.34,4.8,0.17,5.77,22.38,0.09,1.32,0.18
Hyderabad,04-08-2017,8.9,18.12,8.43,0.17,5.55,24.55,0.38,1.86,0.43
Hyderabad,05-08-2017,8.67,20.12,8.91,0.18,6.57,27.34,0.4,3.04,1.11
Hyderabad,06-08-2017,8.85,22.47,9.57,0.17,14.85,28.27,0.38,2.36,0.49
Hyderabad,07-08-2017,9.46,21.64,9.62,0.23,4.69,25.05,1.45,6.23,1.63
Hyderabad,08-08-2017,9.91,19.65,8.13,0.22,6.76,24.75,2.01,8.55,2.74
Hyderabad,09-08-2017,8.32,16.75,6.94,0.27,3.85,25.82,1.43,7.29,0.88
Hyderabad,10-08-2017,7.46,11.51,5.8,0.19,5.41,23.33,0.4,2.62,0.38
Hyderabad,11-08-2017,11.98,15.61,9.04,0.24,6.22,32.72,0.63,3.36,0.87
Hyderabad,12-08-2017,9.48,14.19,8.64,0.25,5.1,32.06,0.28,1.92,0.71
Hyderabad,13-08-2017,9.71,15.64,9.5,0.22,4.33,26.67,0.54,2.16,0.41
Hyderabad,14-08-2017,8.48,14.29,7.96,0.23,5.62,29.5,0.79,4.63,1.13
Hyderabad,15-08-2017,8.25,13.37,8.5,0.22,5.23,28.81,0.64,4.55,0.74
Hyderabad,16-08-2017,7.78,12.73,6.88,0.18,4.97,32.41,0.41,2.13,0.84
Hyderabad,17-08-2017,7.96,15.13,7.23,0.17,5.32,32.76,0.37,2.16,0.99
Hyderabad,18-08-2017,8.15,16.09,7.37,0.17,4.95,29.62,0.37,2.31,1.15
Hyderabad,19-08-2017,7.61,11.78,5.8,0.12,4.84,32.33,0.05,0.82,0.34
Hyderabad,20-08-2017,6.9,8.85,5.15,0.15,4.18,37.5,0.0,0.4,0.09
Hyderabad,21-08-2017,5.41,11.31,5.21,0.16,4.88,38.36,0.09,0.91,0.2
Hyderabad,22-08-2017,10.15,15.13,8.15,0.19,6.04,31.68,0.31,1.7,0.48
Hyderabad,23-08-2017,9.06,16.07,7.95,0.16,5.01,31.8,0.42,2.09,1.58
Hyderabad,24-08-2017,6.7,17.43,7.09,0.21,4.59,31.39,0.55,2.48,1.74
Hyderabad,25-08-2017,7.91,11.42,6.48,0.18,3.8,33.12,0.23,2.48,0.51
Hyderabad,26-08-2017,7.99,9.53,6.55,0.12,3.99,31.66,0.14,1.79,0.82
Hyderabad,27-08-2017,7.64,10.5,5.99,0.17,4.87,30.92,0.27,2.44,0.58
Hyderabad,28-08-2017,7.31,9.12,5.48,0.17,4.25,31.84,0.11,1.02,0.3
Hyderabad,29-08-2017,7.4,9.26,5.74,0.12,4.4,35.24,0.05,1.07,0.18
Hyderabad,30-08-2017,7.27,10.14,5.8,0.17,4.36,32.5,0.09,1.15,0.16
Hyderabad,31-08-2017,8.41,13.14,7.37,0.21,12.8,30.67,0.25,1.99,0.7
